COUNTRY;MONTH;REGISTRATIONS
Denmark;2010-04-01;11943
Estonia;2010-04-01;861
Finland;2010-04-01;10089
France;2010-04-01;190917
Germany;2010-04-01;259414
Greece;2010-04-01;12448
Hungary;2010-04-01;3662
Ireland;2010-04-01;8469
Italy;2010-04-01;160919
Latvia;2010-04-01;458
Lithuania;2010-04-01;581
Luxembourg;2010-04-01;5941
Netherlands;2010-04-01;37543
Poland;2010-04-01;25314
Portugal;2010-04-01;16219
Romania;2010-04-01;10376
Slovakia;2010-04-01;4836
Slovenia;2010-04-01;5626
Spain;2010-04-01;93637
Sweden;2010-04-01;25668
United Kingdom;2010-04-01;148793
Iceland;2010-04-01;79
Norway;2010-04-01;10677
Switzerland;2010-04-01;25722
Austria;2010-05-01;29057
Belgium;2010-05-01;47725
Bulgaria;2010-05-01;1256
Czech Republic;2010-05-01;15920
Denmark;2010-05-01;12958
Estonia;2010-05-01;911
Finland;2010-05-01;10312
France;2010-05-01;186268
Germany;2010-05-01;249708
Greece;2010-05-01;11928
Hungary;2010-05-01;3402
Ireland;2010-05-01;8594
Italy;2010-05-01;164704
Latvia;2010-05-01;481
Lithuania;2010-05-01;658
Luxembourg;2010-05-01;5158
Netherlands;2010-05-01;36827
Poland;2010-05-01;25648
Portugal;2010-05-01;19250
Romania;2010-05-01;10758
Slovakia;2010-05-01;4930
Slovenia;2010-05-01;5739
Spain;2010-05-01;102874
Sweden;2010-05-01;24994
United Kingdom;2010-05-01;153095
Iceland;2010-05-01;390
Norway;2010-05-01;9896
Switzerland;2010-05-01;24809
Austria;2010-06-01;32957
Belgium;2010-06-01;53872
Bulgaria;2010-06-01;1326
Czech Republic;2010-06-01;18571
Denmark;2010-06-01;15526
Estonia;2010-06-01;896
Finland;2010-06-01;11817
France;2010-06-01;240531
Germany;2010-06-01;289259
Greece;2010-06-01;14790
Hungary;2010-06-01;4259
Ireland;2010-06-01;8404
Italy;2010-06-01;171753
Latvia;2010-06-01;631
Lithuania;2010-06-01;663
Luxembourg;2010-06-01;5155
Netherlands;2010-06-01;50681
Poland;2010-06-01;28226
Portugal;2010-06-01;26029
Romania;2010-06-01;13892
Slovakia;2010-06-01;6154
Slovenia;2010-06-01;5913
Spain;2010-06-01;121484
Sweden;2010-06-01;28270
United Kingdom;2010-06-01;195226
Iceland;2010-06-01;1135
Norway;2010-06-01;11119
Switzerland;2010-06-01;31602
Austria;2010-07-01;28977
Belgium;2010-07-01;39309
Bulgaria;2010-07-01;1457
Czech Republic;2010-07-01;11410
Denmark;2010-07-01;11659
Estonia;2010-07-01;891
Finland;2010-07-01;6965
France;2010-07-01;169944
Germany;2010-07-01;237428
Greece;2010-07-01;11539
Hungary;2010-07-01;4362
Ireland;2010-07-01;6311
Italy;2010-07-01;153886
Latvia;2010-07-01;614
Lithuania;2010-07-01;709
Luxembourg;2010-07-01;4434
Netherlands;2010-07-01;38487
Poland;2010-07-01;24488
Portugal;2010-07-01;20299
Romania;2010-07-01;8336
Slovakia;2010-07-01;5591
Slovenia;2010-07-01;5329
Spain;2010-07-01;82169
Sweden;2010-07-01;20375
United Kingdom;2010-07-01;136446
Iceland;2010-07-01;435
Norway;2010-07-01;11507
Switzerland;2010-07-01;25355
Austria;2010-08-01;24693
Belgium;2010-08-01;37540
Bulgaria;2010-08-01;1371
Czech Republic;2010-08-01;12112
Denmark;2010-08-01;11751
Estonia;2010-08-01;795
Finland;2010-08-01;8281
France;2010-08-01;105166
Germany;2010-08-01;200885
Greece;2010-08-01;7167
Hungary;2010-08-01;3000
Ireland;2010-08-01;5036
Italy;2010-08-01;69262
Latvia;2010-08-01;555
Lithuania;2010-08-01;617
Luxembourg;2010-08-01;2538
Netherlands;2010-08-01;36522
Poland;2010-08-01;22625
Portugal;2010-08-01;11932
Romania;2010-08-01;7048
Slovakia;2010-08-01;5206
Slovenia;2010-08-01;4338
Spain;2010-08-01;44578
Sweden;2010-08-01;22376
United Kingdom;2010-08-01;55305
Iceland;2010-08-01;102
Norway;2010-08-01;10414
Switzerland;2010-08-01;19895
Austria;2010-09-01;28115
Belgium;2010-09-01;36945
Bulgaria;2010-09-01;1168
Czech Republic;2010-09-01;13296
Denmark;2010-09-01;13533
Estonia;2010-09-01;969
Finland;2010-09-01;9299
France;2010-09-01;169944
Germany;2010-09-01;259748
Greece;2010-09-01;5994
Hungary;2010-09-01;3554
Ireland;2010-09-01;4288
Italy;2010-09-01;155231
Latvia;2010-09-01;531
Lithuania;2010-09-01;724
Luxembourg;2010-09-01;3297
Netherlands;2010-09-01;45544
Poland;2010-09-01;27902
Portugal;2010-09-01;13918
Romania;2010-09-01;9811
Slovakia;2010-09-01;5230
Slovenia;2010-09-01;4825
Spain;2010-09-01;56282
Sweden;2010-09-01;25912
United Kingdom;2010-09-01;335246
Iceland;2010-09-01;110
Norway;2010-09-01;11137
Switzerland;2010-09-01;22101
Austria;2010-10-01;28713
Belgium;2010-10-01;43570
Bulgaria;2010-10-01;1333
Czech Republic;2010-10-01;13166
Denmark;2010-10-01;13600
Estonia;2010-10-01;1067
Finland;2010-10-01;9166
France;2010-10-01;171950
Germany;2010-10-01;256775
Greece;2010-10-01;7807
Hungary;2010-10-01;3644
Ireland;2010-10-01;3259
Italy;2010-10-01;140418
Latvia;2010-10-01;577
Lithuania;2010-10-01;943
Luxembourg;2010-10-01;3832
Netherlands;2010-10-01;43572
Poland;2010-10-01;30362
Portugal;2010-10-01;15341
Romania;2010-10-01;10430
Slovakia;2010-10-01;6121
Slovenia;2010-10-01;4894
Spain;2010-10-01;61367
Sweden;2010-10-01;26420
United Kingdom;2010-10-01;131495
Iceland;2010-10-01;125
Norway;2010-10-01;10683
Switzerland;2010-10-01;24422
Austria;2010-11-01;28024
Belgium;2010-11-01;40537
Bulgaria;2010-11-01;1508
Czech Republic;2010-11-01;15258
Denmark;2010-11-01;13962
Estonia;2010-11-01;956
Finland;2010-11-01;7767
France;2010-11-01;193913
Germany;2010-11-01;262262
Greece;2010-11-01;6771
Hungary;2010-11-01;3477
Ireland;2010-11-01;1521
Italy;2010-11-01;146088
Latvia;2010-11-01;650
Lithuania;2010-11-01;843
Luxembourg;2010-11-01;3445
Netherlands;2010-11-01;36920
Poland;2010-11-01;33918
Portugal;2010-11-01;18606
Romania;2010-11-01;10990
Slovakia;2010-11-01;6442
Slovenia;2010-11-01;4756
Spain;2010-11-01;64515
Sweden;2010-11-01;26752
United Kingdom;2010-11-01;139875
Iceland;2010-11-01;184
Norway;2010-11-01;11908
Switzerland;2010-11-01;24819
Austria;2010-12-01;20366
Belgium;2010-12-01;29243
Bulgaria;2010-12-01;1957
Czech Republic;2010-12-01;15155
Denmark;2010-12-01;15472
Estonia;2010-12-01;764
Finland;2010-12-01;5846
France;2010-12-01;228316
Germany;2010-12-01;230371
Greece;2010-12-01;3691
Hungary;2010-12-01;3902
Ireland;2010-12-01;434
Italy;2010-12-01;131298
Latvia;2010-12-01;804
Lithuania;2010-12-01;857
Luxembourg;2010-12-01;2503
Netherlands;2010-12-01;11393
Poland;2010-12-01;35890
Portugal;2010-12-01;28118
Romania;2010-12-01;6761
Slovakia;2010-12-01;7733
Slovenia;2010-12-01;3551
Spain;2010-12-01;68942
Sweden;2010-12-01;29770
United Kingdom;2010-12-01;123817
Iceland;2010-12-01;225
Norway;2010-12-01;10136
Switzerland;2010-12-01;27799
Austria;2011-01-01;25584
Belgium;2011-01-01;53236
Bulgaria;2011-01-01;1256
Czech Republic;2011-01-01;11692
Denmark;2011-01-01;12375
Estonia;2011-01-01;1323
Finland;2011-01-01;13358
France;2011-01-01;185521
Germany;2011-01-01;211056
Greece;2011-01-01;9747
Hungary;2011-01-01;3429
Ireland;2011-01-01;20998
Italy;2011-01-01;165172
Latvia;2011-01-01;732
Lithuania;2011-01-01;846
Luxembourg;2011-01-01;3353
Netherlands;2011-01-01;74787
Poland;2011-01-01;24528
Portugal;2011-01-01;13221
Romania;2011-01-01;4399
Slovakia;2011-01-01;4422
Slovenia;2011-01-01;5562
Spain;2011-01-01;53634
Sweden;2011-01-01;19244
United Kingdom;2011-01-01;128811
Iceland;2011-01-01;197
Norway;2011-01-01;10372
Switzerland;2011-01-01;20557
Austria;2011-02-01;26412
Belgium;2011-02-01;53135
Bulgaria;2011-02-01;1238
Czech Republic;2011-02-01;12879
Denmark;2011-02-01;11552
Estonia;2011-02-01;936
Finland;2011-02-01;8967
France;2011-02-01;204400
Germany;2011-02-01;224426
Greece;2011-02-01;6989
Hungary;2011-02-01;3547
Ireland;2011-02-01;12569
Italy;2011-02-01;161303
Latvia;2011-02-01;765
Lithuania;2011-02-01;925
Luxembourg;2011-02-01;4410
Netherlands;2011-02-01;49019
Poland;2011-02-01;23458
Portugal;2011-02-01;13426
Romania;2011-02-01;4233
Slovakia;2011-02-01;4816
Slovenia;2011-02-01;5445
Spain;2011-02-01;66120
Sweden;2011-02-01;20993
United Kingdom;2011-02-01;63424
Iceland;2011-02-01;130
Norway;2011-02-01;10543
Switzerland;2011-02-01;22453
Austria;2011-03-01;35869
Belgium;2011-03-01;63533
Bulgaria;2011-03-01;1618
Czech Republic;2011-03-01;17534
Denmark;2011-03-01;16760
Estonia;2011-03-01;1486
Finland;2011-03-01;12016
France;2011-03-01;257533
Germany;2011-03-01;327921
Greece;2011-03-01;8531
Hungary;2011-03-01;4454
Ireland;2011-03-01;14391
Italy;2011-03-01;188598
Latvia;2011-03-01;873
Lithuania;2011-03-01;1096
Luxembourg;2011-03-01;5660
Netherlands;2011-03-01;56601
Poland;2011-03-01;28396
Portugal;2011-03-01;18930
Romania;2011-03-01;6119
Slovakia;2011-03-01;6491
Slovenia;2011-03-01;6073
Spain;2011-03-01;88397
Sweden;2011-03-01;29527
United Kingdom;2011-03-01;366101
Iceland;2011-03-01;208
Norway;2011-03-01;12901
Switzerland;2011-03-01;30285
Austria;2011-04-01;33317
Belgium;2011-04-01;53300
Bulgaria;2011-04-01;1625
Czech Republic;2011-04-01;14650
Denmark;2011-04-01;13400
Estonia;2011-04-01;1538
Finland;2011-04-01;11010
France;2011-04-01;169757
Germany;2011-04-01;266251
Greece;2011-04-01;10191
Hungary;2011-04-01;3701
Ireland;2011-04-01;8674
Italy;2011-04-01;158171
Latvia;2011-04-01;845
Lithuania;2011-04-01;1164
Luxembourg;2011-04-01;5221
Netherlands;2011-04-01;47637
Poland;2011-04-01;24350
Portugal;2011-04-01;14418
Romania;2011-04-01;8465
Slovakia;2011-04-01;5694
Slovenia;2011-04-01;5179
Spain;2011-04-01;71805
Sweden;2011-04-01;28940
United Kingdom;2011-04-01;137746
Iceland;2011-04-01;293
Norway;2011-04-01;11330
Switzerland;2011-04-01;27614
Austria;2011-05-01;34393
Belgium;2011-05-01;54888
Bulgaria;2011-05-01;1603
Czech Republic;2011-05-01;15502
Denmark;2011-05-01;16545
Estonia;2011-05-01;1722
Finland;2011-05-01;12636
France;2011-05-01;197701
Germany;2011-05-01;304543
Greece;2011-05-01;10076
Hungary;2011-05-01;3829
Ireland;2011-05-01;9440
Italy;2011-05-01;171642
Latvia;2011-05-01;955
Lithuania;2011-05-01;1248
Luxembourg;2011-05-01;5696
Netherlands;2011-05-01;49806
Poland;2011-05-01;24422
Portugal;2011-05-01;14714
Romania;2011-05-01;9684
Slovakia;2011-05-01;6513
Slovenia;2011-05-01;5695
Spain;2011-05-01;78871
Sweden;2011-05-01;30853
United Kingdom;2011-05-01;150431
Iceland;2011-05-01;1062
Norway;2011-05-01;13005
Switzerland;2011-05-01;29420
Austria;2011-06-01;32018
Belgium;2011-06-01;48353
Bulgaria;2011-06-01;1827
Czech Republic;2011-06-01;16188
Denmark;2011-06-01;17005
Estonia;2011-06-01;1458
Finland;2011-06-01;10846
France;2011-06-01;210172
Germany;2011-06-01;288382
Greece;2011-06-01;9740
Hungary;2011-06-01;4205
Ireland;2011-06-01;11007
Italy;2011-06-01;169936
Latvia;2011-06-01;912
Lithuania;2011-06-01;1344
Luxembourg;2011-06-01;4256
Netherlands;2011-06-01;50499
Poland;2011-06-01;26138
Portugal;2011-06-01;17150
Romania;2011-06-01;10335
Slovakia;2011-06-01;6298
Slovenia;2011-06-01;5988
Spain;2011-06-01;83385
Sweden;2011-06-01;27485
United Kingdom;2011-06-01;183125
Iceland;2011-06-01;1166
Norway;2011-06-01;10354
Switzerland;2011-06-01;27919
Austria;2011-07-01;29307
Belgium;2011-07-01;34886
Bulgaria;2011-07-01;1827
Czech Republic;2011-07-01;12131
Denmark;2011-07-01;13053
Estonia;2011-07-01;1291
Finland;2011-07-01;8189
France;2011-07-01;160199
Germany;2011-07-01;260907
Greece;2011-07-01;9940
Hungary;2011-07-01;3719
Ireland;2011-07-01;4079
Italy;2011-07-01;138510
Latvia;2011-07-01;913
Lithuania;2011-07-01;1072
Luxembourg;2011-07-01;4529
Netherlands;2011-07-01;42092
Poland;2011-07-01;23288
Portugal;2011-07-01;14269
Romania;2011-07-01;9012
Slovakia;2011-07-01;5583
Slovenia;2011-07-01;4909
Spain;2011-07-01;78914
Sweden;2011-07-01;19621
United Kingdom;2011-07-01;131634
Iceland;2011-07-01;444
Norway;2011-07-01;11189
Switzerland;2011-07-01;25464
Austria;2011-08-01;25884
Belgium;2011-08-01;37788
Bulgaria;2011-08-01;1651
Czech Republic;2011-08-01;14131
Denmark;2011-08-01;12491
Estonia;2011-08-01;1427
Finland;2011-08-01;9621
France;2011-08-01;108462
Germany;2011-08-01;237561
Greece;2011-08-01;7297
Hungary;2011-08-01;3428
Ireland;2011-08-01;3238
Italy;2011-08-01;70764
Latvia;2011-08-01;856
Lithuania;2011-08-01;1075
Luxembourg;2011-08-01;3018
Netherlands;2011-08-01;39062
Poland;2011-08-01;19340
Portugal;2011-08-01;8131
Romania;2011-08-01;7800
Slovakia;2011-08-01;5190
Slovenia;2011-08-01;4285
Spain;2011-08-01;47223
Sweden;2011-08-01;24368
United Kingdom;2011-08-01;59346
Iceland;2011-08-01;299
Norway;2011-08-01;11464
Switzerland;2011-08-01;21740
Austria;2011-09-01;30755
Belgium;2011-09-01;41427
Bulgaria;2011-09-01;1716
Czech Republic;2011-09-01;13005
Denmark;2011-09-01;13806
Estonia;2011-09-01;1541
Finland;2011-09-01;9632
France;2011-09-01;167526
Germany;2011-09-01;280689
Greece;2011-09-01;6718
Hungary;2011-09-01;3500
Ireland;2011-09-01;2767
Italy;2011-09-01;147021
Latvia;2011-09-01;926
Lithuania;2011-09-01;1197
Luxembourg;2011-09-01;3466
Netherlands;2011-09-01;44382
Poland;2011-09-01;24318
Portugal;2011-09-01;9205
Romania;2011-09-01;9120
Slovakia;2011-09-01;4998
Slovenia;2011-09-01;4647
Spain;2011-09-01;55572
Sweden;2011-09-01;26605
United Kingdom;2011-09-01;332476
Iceland;2011-09-01;283
Norway;2011-09-01;11737
Switzerland;2011-09-01;26401
Austria;2011-10-01;28909
Belgium;2011-10-01;42462
Bulgaria;2011-10-01;1736
Czech Republic;2011-10-01;14877
Denmark;2011-10-01;12388
Estonia;2011-10-01;1523
Finland;2011-10-01;9631
France;2011-10-01;176103
Germany;2011-10-01;258253
Greece;2011-10-01;5023
Hungary;2011-10-01;3511
Ireland;2011-10-01;1566
Italy;2011-10-01;133411
Latvia;2011-10-01;974
Lithuania;2011-10-01;1180
Luxembourg;2011-10-01;3923
Netherlands;2011-10-01;43635
Poland;2011-10-01;24883
Portugal;2011-10-01;9137
Romania;2011-10-01;9677
Slovakia;2011-10-01;5751
Slovenia;2011-10-01;4686
Spain;2011-10-01;57278
Sweden;2011-10-01;25052
United Kingdom;2011-10-01;134944
Iceland;2011-10-01;319
Norway;2011-10-01;11543
Switzerland;2011-10-01;26802
Austria;2011-11-01;30339
Belgium;2011-11-01;40440
Bulgaria;2011-11-01;1773
Czech Republic;2011-11-01;15962
Denmark;2011-11-01;15028
Estonia;2011-11-01;1690
Finland;2011-11-01;8731
France;2011-11-01;179038
Germany;2011-11-01;269144
Greece;2011-11-01;7890
Hungary;2011-11-01;4510
Ireland;2011-11-01;778
Italy;2011-11-01;133283
Latvia;2011-11-01;1169
Lithuania;2011-11-01;1054
Luxembourg;2011-11-01;3707
Netherlands;2011-11-01;41081
Poland;2011-11-01;26595
Portugal;2011-11-01;9555
Romania;2011-11-01;10185
Slovakia;2011-11-01;5903
Slovenia;2011-11-01;4319
Spain;2011-11-01;60395
Sweden;2011-11-01;26894
United Kingdom;2011-11-01;134027
Iceland;2011-11-01;374
Norway;2011-11-01;12357
Switzerland;2011-11-01;28487
Austria;2011-12-01;23358
Belgium;2011-12-01;48763
Bulgaria;2011-12-01;1382
Czech Republic;2011-12-01;15044
Denmark;2011-12-01;15341
Estonia;2011-12-01;1135
Finland;2011-12-01;6534
France;2011-12-01;187817
Germany;2011-12-01;244501
Greece;2011-12-01;5538
Hungary;2011-12-01;3261
Ireland;2011-12-01;371
Italy;2011-12-01;111928
Latvia;2011-12-01;1060
Lithuania;2011-12-01;1033
Luxembourg;2011-12-01;2642
Netherlands;2011-12-01;17243
Poland;2011-12-01;28221
Portugal;2011-12-01;11248
Romania;2011-12-01;5590
Slovakia;2011-12-01;6595
Slovenia;2011-12-01;3405
Spain;2011-12-01;66457
Sweden;2011-12-01;25402
United Kingdom;2011-12-01;119188
Iceland;2011-12-01;263
Norway;2011-12-01;11550
Switzerland;2011-12-01;29704
Austria;2012-01-01;26826
Belgium;2012-01-01;44732
Bulgaria;2012-01-01;1325
Czech Republic;2012-01-01;12912
Denmark;2012-01-01;12871
Estonia;2012-01-01;1671
Finland;2012-01-01;14237
France;2012-01-01;147046
Germany;2012-01-01;210195
Greece;2012-01-01;8451
Hungary;2012-01-01;4935
Ireland;2012-01-01;21309
Italy;2012-01-01;137744
Latvia;2012-01-01;882
Lithuania;2012-01-01;1008
Luxembourg;2012-01-01;3649
Netherlands;2012-01-01;70157
Poland;2012-01-01;24057
Portugal;2012-01-01;6959
Romania;2012-01-01;3475
Slovakia;2012-01-01;4801
Slovenia;2012-01-01;5126
Spain;2012-01-01;54961
Sweden;2012-01-01;18686
United Kingdom;2012-01-01;128853
Iceland;2012-01-01;320
Norway;2012-01-01;10838
Switzerland;2012-01-01;23649
Austria;2012-02-01;24005
Belgium;2012-02-01;43716
Bulgaria;2012-02-01;1394
Czech Republic;2012-02-01;13542
Denmark;2012-02-01;14182
Estonia;2012-02-01;1303
Finland;2012-02-01;10619
France;2012-02-01;163010
Germany;2012-02-01;224318
Greece;2012-02-01;3827
Hungary;2012-02-01;4260
Ireland;2012-02-01;11496
Italy;2012-02-01;131269
Latvia;2012-02-01;727
Lithuania;2012-02-01;863
Luxembourg;2012-02-01;4543
Netherlands;2012-02-01;43968
Poland;2012-02-01;23732
Portugal;2012-02-01;6902
Romania;2012-02-01;4540
Slovakia;2012-02-01;5370
Slovenia;2012-02-01;4239
Spain;2012-02-01;64730
Sweden;2012-02-01;20735
United Kingdom;2012-02-01;61868
Iceland;2012-02-01;323
Norway;2012-02-01;10925
Switzerland;2012-02-01;23283
Austria;2012-03-01;37933
Belgium;2012-03-01;59915
Bulgaria;2012-03-01;1610
Czech Republic;2012-03-01;17062
Denmark;2012-03-01;13680
Estonia;2012-03-01;1684
Finland;2012-03-01;22925
France;2012-03-01;197774
Germany;2012-03-01;339123
Greece;2012-03-01;4901
Hungary;2012-03-01;4766
Ireland;2012-03-01;13054
Italy;2012-03-01;138816
Latvia;2012-03-01;879
Lithuania;2012-03-01;1001
Luxembourg;2012-03-01;5319
Netherlands;2012-03-01;52334
Poland;2012-03-01;29349
Portugal;2012-03-01;9643
Romania;2012-03-01;5815
Slovakia;2012-03-01;6427
Slovenia;2012-03-01;5349
Spain;2012-03-01;84427
Sweden;2012-03-01;28555
United Kingdom;2012-03-01;372835
Iceland;2012-03-01;433
Norway;2012-03-01;13051
Switzerland;2012-03-01;32700
Austria;2012-04-01;32728
Belgium;2012-04-01;48326
Bulgaria;2012-04-01;1856
Czech Republic;2012-04-01;16586
Denmark;2012-04-01;12092
Estonia;2012-04-01;1765
Finland;2012-04-01;4051
France;2012-04-01;166552
Germany;2012-04-01;274066
Greece;2012-04-01;4409
Hungary;2012-04-01;4287
Ireland;2012-04-01;6806
Italy;2012-04-01;130320
Latvia;2012-04-01;884
Lithuania;2012-04-01;1061
Luxembourg;2012-04-01;5373
Netherlands;2012-04-01;41033
Poland;2012-04-01;23602
Portugal;2012-04-01;8400
Romania;2012-04-01;6650
Slovakia;2012-04-01;5794
Slovenia;2012-04-01;4513
Spain;2012-04-01;56250
Sweden;2012-04-01;23336
United Kingdom;2012-04-01;142322
Iceland;2012-04-01;726
Norway;2012-04-01;10876
Switzerland;2012-04-01;28437
Austria;2012-05-01;32398
Belgium;2012-05-01;40780
Bulgaria;2012-05-01;1894
Czech Republic;2012-05-01;15975
Denmark;2012-05-01;16688
Estonia;2012-05-01;1942
Finland;2012-05-01;7320
France;2012-05-01;165691
Germany;2012-05-01;289977
Greece;2012-05-01;5314
Hungary;2012-05-01;4581
Ireland;2012-05-01;7701
Italy;2012-05-01;147938
Latvia;2012-05-01;1040
Lithuania;2012-05-01;1213
Luxembourg;2012-05-01;4833
Netherlands;2012-05-01;47759
Poland;2012-05-01;23684
Portugal;2012-05-01;10668
Romania;2012-05-01;8497
Slovakia;2012-05-01;5948
Slovenia;2012-05-01;4791
Spain;2012-05-01;72444
Sweden;2012-05-01;25759
United Kingdom;2012-05-01;162288
Iceland;2012-05-01;1536
Norway;2012-05-01;12612
Switzerland;2012-05-01;29176
Austria;2012-06-01;33068
Belgium;2012-06-01;47647
Bulgaria;2012-06-01;2278
Czech Republic;2012-06-01;18138
Denmark;2012-06-01;14697
Estonia;2012-06-01;1966
Finland;2012-06-01;7716
France;2012-06-01;208909
Germany;2012-06-01;296722
Greece;2012-06-01;5527
Hungary;2012-06-01;4956
Ireland;2012-06-01;6352
Italy;2012-06-01;129113
Latvia;2012-06-01;1050
Lithuania;2012-06-01;1048
Luxembourg;2012-06-01;4939
Netherlands;2012-06-01;76120
Poland;2012-06-01;23157
Portugal;2012-06-01;10803
Romania;2012-06-01;6963
Slovakia;2012-06-01;5976
Slovenia;2012-06-01;5135
Spain;2012-06-01;73259
Sweden;2012-06-01;25562
United Kingdom;2012-06-01;189514
Iceland;2012-06-01;1516
Norway;2012-06-01;11053
Switzerland;2012-06-01;39971
Austria;2012-07-01;28268
Belgium;2012-07-01;36701
Bulgaria;2012-07-01;1580
Czech Republic;2012-07-01;11157
Denmark;2012-07-01;16709
Estonia;2012-07-01;1794
Finland;2012-07-01;6444
France;2012-07-01;148924
Germany;2012-07-01;247860
Greece;2012-07-01;5757
Hungary;2012-07-01;4474
Ireland;2012-07-01;4424
Italy;2012-07-01;109616
Latvia;2012-07-01;895
Lithuania;2012-07-01;1051
Luxembourg;2012-07-01;4195
Netherlands;2012-07-01;30918
Poland;2012-07-01;20681
Portugal;2012-07-01;9256
Romania;2012-07-01;5599
Slovakia;2012-07-01;6252
Slovenia;2012-07-01;4242
Spain;2012-07-01;65325
Sweden;2012-07-01;18076
United Kingdom;2012-07-01;143884
Iceland;2012-07-01;574
Norway;2012-07-01;11920
Switzerland;2012-07-01;24156
Austria;2012-08-01;24570
Belgium;2012-08-01;31256
Bulgaria;2012-08-01;1837
Czech Republic;2012-08-01;13193
Denmark;2012-08-01;13546
Estonia;2012-08-01;1518
Finland;2012-08-01;7538
France;2012-08-01;96067
Germany;2012-08-01;226455
Greece;2012-08-01;3886
Hungary;2012-08-01;3537
Ireland;2012-08-01;3092
Italy;2012-08-01;56715
Latvia;2012-08-01;894
Lithuania;2012-08-01;952
Luxembourg;2012-08-01;2899
Netherlands;2012-08-01;32996
Poland;2012-08-01;17976
Portugal;2012-08-01;5442
Romania;2012-08-01;5268
Slovakia;2012-08-01;5948
Slovenia;2012-08-01;3166
Spain;2012-08-01;48820
Sweden;2012-08-01;21065
United Kingdom;2012-08-01;59433
Iceland;2012-08-01;473
Norway;2012-08-01;11790
Switzerland;2012-08-01;21943
Austria;2012-09-01;27094
Belgium;2012-09-01;33660
Bulgaria;2012-09-01;1586
Czech Republic;2012-09-01;12475
Denmark;2012-09-01;13905
Estonia;2012-09-01;1548
Finland;2012-09-01;7983
France;2012-09-01;137536
Germany;2012-09-01;250082
Greece;2012-09-01;3463
Hungary;2012-09-01;3525
Ireland;2012-09-01;2483
Italy;2012-09-01;109543
Latvia;2012-09-01;744
Lithuania;2012-09-01;980
Luxembourg;2012-09-01;3340
Netherlands;2012-09-01;31952
Poland;2012-09-01;18727
Portugal;2012-09-01;6357
Romania;2012-09-01;6751
Slovakia;2012-09-01;7329
Slovenia;2012-09-01;3289
Spain;2012-09-01;35148
Sweden;2012-09-01;21937
United Kingdom;2012-09-01;359612
Iceland;2012-09-01;470
Norway;2012-09-01;11134
Switzerland;2012-09-01;21067
Austria;2012-10-01;26322
Belgium;2012-10-01;41846
Bulgaria;2012-10-01;1660
Czech Republic;2012-10-01;15962
Denmark;2012-10-01;15218
Estonia;2012-10-01;1630
Finland;2012-10-01;8188
France;2012-10-01;162335
Germany;2012-10-01;259529
Greece;2012-10-01;5111
